"Foreground"
"Image"
"Clipart"
"Text"
"Text"
"Font"
"From fonts.google.com"
"Trim whitespace"
"Trim"
"Don't trim"
"Padding"
"Color"
"Set to transparent to use original colors"
"Background color"
"Scaling"
"Crop"
"Center"
"Shape"
"Effect"
"None"
"Elevate"
"Cast shadow"
"Score"
"Name"
"Save"
"Please setup Youtube API Keys in Settings -> APIs section first."
'Training Videos'
'Youtube Channel'
'Max Results'
'Settings'
